Date,Tweet,Sentiment,Region
2024-11-14,My iPhone has expensive. Disappointed. #SwitchToiPhone,Negative,Chennai
2023-03-05,I just got my new iPhone! It's top-notch. #iPhoneLover,Positive,Delhi
2023-02-04,My iPhone has battery. Disappointed. #iPhoneIndia,Negative,Bangalore
2024-12-03,I just got my new iPhone! It's beautiful. #iPhone15,Positive,Delhi
2024-03-04,I just got my new iPhone! It's best. #iPhoneIndia,Positive,Bangalore
2023-08-09,I just got my new iPhone! It's beautiful. #iPhone15,Positive,Kolkata
2023-08-21,I just got my new iPhone! It's amazing. #iPhoneCamera,Positive,Mumbai
2024-12-13,My iPhone has not worth. Disappointed. #iPhoneLover,Negative,Ahmedabad
2024-07-21,iPhone now features in India. #iPhoneCamera,Neutral,Chennai
2024-07-08,I just got my new iPhone! It's premium. #iPhoneLover,Positive,Mumbai
2023-11-26,My iPhone has problem. Disappointed. #iPhoneCamera,Negative,Chennai
2023-08-22,I just got my new iPhone! It's amazing. #AppleEvent,Positive,Bangalore
2024-07-29,My iPhone has battery. Disappointed. #iPhoneLover,Negative,Pune
2024-05-27,I just got my new iPhone! It's best. #iPhoneLover,Positive,Bangalore
2023-08-03,I just got my new iPhone! It's beautiful. #iPhoneIndia,Positive,Ahmedabad
2024-01-21,iPhone now features in India. #AppleEvent,Neutral,Bangalore
2023-10-08,iPhone now iOS in India. #AppleEvent,Neutral,Kolkata
2023-11-08,iPhone now iOS in India. #SwitchToiPhone,Neutral,Ahmedabad
2024-10-03,I just got my new iPhone! It's amazing. #iPhoneIndia,Positive,Delhi
2024-11-23,iPhone now updated in India. #iPhoneIndia,Neutral,Pune
2023-03-02,My iPhone has lag. Disappointed. #iPhoneCamera,Negative,Delhi
2023-09-30,My iPhone has battery. Disappointed. #iPhoneIndia,Negative,Bangalore
2023-11-15,I just got my new iPhone! It's amazing. #iPhoneIndia,Positive,Kolkata
2023-04-08,iPhone now updated in India. #iPhoneLover,Neutral,Bangalore
2024-06-28,I just got my new iPhone! It's premium. #SwitchToiPhone,Positive,Ahmedabad
2023-09-08,iPhone now updated in India. #iPhone15,Neutral,Kolkata
2023-12-19,My iPhone has battery. Disappointed. #AppleEvent,Negative,Bangalore
2023-02-08,I just got my new iPhone! It's top-notch. #AppleEvent,Positive,Kolkata
2023-12-26,My iPhone has lag. Disappointed. #iPhone15,Negative,Mumbai
2023-10-27,My iPhone has battery. Disappointed. #SwitchToiPhone,Negative,Chennai
2023-03-16,iPhone now iOS in India. #iPhoneIndia,Neutral,Mumbai
2024-10-28,I just got my new iPhone! It's beautiful. #iPhoneIndia,Positive,Pune
2024-05-20,iPhone now new in India. #iPhoneIndia,Neutral,Bangalore
2023-01-02,iPhone now features in India. #iPhoneIndia,Neutral,Ahmedabad
2023-02-17,iPhone now new in India. #iPhoneLover,Neutral,Mumbai
2024-12-20,iPhone now Apple in India. #iPhoneCamera,Neutral,Delhi
2024-11-09,I just got my new iPhone! It's best. #iPhoneIndia,Positive,Hyderabad
2024-09-25,My iPhone has lag. Disappointed. #AppleEvent,Negative,Delhi
2024-04-17,My iPhone has lag. Disappointed. #AppleEvent,Negative,Bangalore
2024-01-27,My iPhone has expensive. Disappointed. #SwitchToiPhone,Negative,Kolkata
2024-06-30,I just got my new iPhone! It's premium. #AppleEvent,Positive,Chennai
2024-12-27,iPhone now new in India. #iPhone15,Neutral,Pune
2024-03-11,I just got my new iPhone! It's amazing. #iPhoneIndia,Positive,Delhi
2023-06-09,I just got my new iPhone! It's beautiful. #AppleEvent,Positive,Chennai
2024-04-12,iPhone now new in India. #iPhoneLover,Neutral,Bangalore
2024-07-12,I just got my new iPhone! It's amazing. #SwitchToiPhone,Positive,Delhi
2023-08-22,iPhone now updated in India. #iPhoneIndia,Neutral,Pune
2024-02-07,My iPhone has problem. Disappointed. #iPhoneCamera,Negative,Mumbai
2024-12-18,I just got my new iPhone! It's premium. #iPhoneLover,Positive,Delhi
